title,rating,body,len,clean_review
Horrible product,1,Very disappointed with the overall performance from Samsung,59,disappointed overall performance samsung
Camera quality is not like 48 megapixel,3,Camera quality is low,21,camera quality low
Overall,4,"Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying",403,get mobile launch date battery appreciatedcamera averagemobile performance refresh rate u r buy mobile feature afraid u disappoint usb cable small lengthit good mobile budget return replacement available choose wisely buy
A big no from me,1,"1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide.",377,work wifi frequency old camera quality pathetic forget picture blur poor amazon allow write review sell stock return policy live phone like decide
Put your money somewhere else,1,"Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE",179,worth buy faulty software poor display quality single band wifi support wifi band gyro sensor miss not pay review tube
Too much lagging and slow,1,I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.,102,purchase samsung phone phone lag slow waste hard earn money
Worst samsung mobile ever,1,This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.,179,bad samsung mobile see samsung sceen quality color trash old rs phone beat quality buy product
कैसा दिखाते है उसका 10 % भी नही,1,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे,135,pm और
Slow performance,1,The phone hangs a lot and is very slow. I received a replacement which continues to hang,88,phone hang lot slow receive replacement continue hang
Don’t buy from Amazon.,1,Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.,187,poor quality camera box seal damage amazon take buy amazon start cheat customer profit
Worst camera quality,1,"Worst camera quality. It is like 2 megapixel camera. Photos are very worst. If you slightly zoom the photo,  you can see blurry...Previously I used 13 megapixel amera phone. Those photos are very good.",201,bad camera quality like megapixel camera photo bad slightly zoom photo blurry previously megapixel amera phone photo good
No 5Ghz wifi band,1,"No 5Ghz wifi band on this mobile, miserable in 2021 , even my previous mobile of Samsung which I bought in 2017 have 5Ghz wifi , it's a big comedy",146,wifi band mobile miserable previous mobile samsung buy wifi big comedy
Cheated,1,Don't received  handset ejection  pin  and manual.,50,receive handset ejection pin manual
Dont buy samsung m12 mobile,1,very poor build qualityvery poor camera piclow quality phoneno return policyvery worst mobilejust making fool to customer by samsung m12 and Amazon,147,poor build qualityvery poor camera piclow quality phoneno return policyvery bad mobilejust make fool customer samsung amazon
Good one in this price segment.,5,Just unboxed the phone.Seems to be a better one in this price segment as of now.Just checked with the camera & voice it seems good but one thing it's very heavy in weight may be due to battery.Hope samsung lives upto expectation.,229,unbox well price segment check camera voice good thing heavy weight samsung live upto expectation
Hitting issue,1,Hitting issue,13,hit issue
Worst product with cheap quality material.,1,Worst product and low quality never expected this kind of product from Samsung even though it's having high end config. It doesn't look that way.Camera utterly disappointed. Never seen this kind of mobile in the recent past and more over if you buy this product you have to bare with it because no return/refund option according to return policy only replacement that disappoints even more. Advising don't waste money on this product.,434,bad product low quality expect kind product samsung have high end config look utterly disappointed see kind mobile recent past buy product bare return refund option accord return policy replacement disappoint advise waste money product
Below average,1,"Good battery. Heating while charging and using mobile data, camera below average with 48 mp true, looks like 13 mp. Heavy in weight and thickness (okay that 6000 mah) display is not good as other phones in this rage in terms of technology and display ratio. Overall below average in this price.",294,good battery heating charge mobile datum camera average mp true look like mp heavy weight thickness okay mah display good phone rage term technology display ratio overall average price
"RUBBISH PHONE, WANT MY MONEY BACK",1,"PHONE IS TOTAL RUBBISH.  Slowest to respond, Camera not at all good, abruptly closes down youtube and other applications on itself....AND THIS PHONE IS UTTER WASTE. CAMERA QUALITY IS BAD.Not at all happy with the product.I WANT MY MONEY BACK",241,phone total rubbish slow respond camera good abruptly close youtube application phone utter waste camera quality happy want money
Perfect phone with this price,5,"This is perfect phone, good speed, decent specs and outstanding battery life. The look of the device is also attractive. Above all, the trust of company.",153,perfect phone good speed decent spec outstanding battery life look device attractive trust company
Not recommended for Jiofiber users,1,"Very disappointing ,Samsung manufactured only 2.4Ghz support mobile in 2021 @ 13000 cost. Newer days below 10000 value mobiles also supporting dual band.I have purchased samsung mobile in 2018 will support 5ghz band, 2021 manufactured mobile will not support dual band  very shameful.This is cheating of amazon not mentioned same in details about the product. I am suggesting don't buy those who are using Jiofiber WIFI.",420,disappointing samsung manufacture support mobile cost new day value mobile support dual purchase samsung mobile support band manufacture mobile support dual band cheat amazon mention detail product suggest buy jiofiber wifi
Very poor performance,1,Dislike,7,dislike
Very bad self camera,1,Self camera is just like 2 mega pixels.,39,self camera like mega pixel
"Not So impressive,okay okay.Little over price",3,"The media could not be loaded.
                




   #m12,#m12unboxing,#samsungm12 ,#unboxing ,#Samsung, #Galaxy, #M12,#SamsungGalaxyM12M12 unboxing videoNot so impressive Mobile from Samsung, currently direct compete with LGK42, Moto G30/G10To All people who want to purchase mobile DO NOT go on Mobile Marketing and Actors endorsing Mobile.:Remember 5G is coming hence you are getting so much discount on all 4G mobile. Mobile manufacturers are clearing stocks, Need to inform 5G mobile support 4G band but all 4G mobile will not support 5G.Take example, if you purchase 20,0000 mobile today, after 20 months you may need to change to 5G mobile hence it will cost you 1000 per month (costing matters) and you will not get High exchange value (not even 50% cost), Currently 5G yet to come in India, may be yearend or come will be high cost.Points to Remember while purchasing Mobile:1) Mobile band support, Dual Wi-fi Support is better.2) Graphics PPI matter hence check PPI value of mobile. It directly related to Mobile display and colour quality, Higher is better.3) Check Mobile camera F value (lower value, higher picture quality) if less than 1.8 is best. Mostly camera quality depends on Focal Value not on pixel4) Android upgrade support. This is important as your mobile will useless within 2 years, remember you don’t want any mobile who cannot upgrade to Android 11.5) Item Weight and height of mobile. Lower is better, it really matter as you will get pain while holding mobile for long time, specially  old people.6) Mobile resolution, Higher is better7) screen refresh rate, Higher is better8) Clean Android installation. This is also important as manufacturers cannot force you to install or retain any app.M12 /Pro6000 battery (not fully tested yet)Android 11, v11.0 operating system, One UI 3.1with 8nm Power Efficient Exynos850 (Octa Core 2.0GHz)90Hz screen refresh rateSamsung Brand (Non-Chinese)Galaxy Store supportDolby Atmos support. Currently Audio testing is going onM12 Cons720p screen resolutionNo AR support, ARcore Absentresolution with 720 x 1600 pixels resolution, low Graphics PPI 269 PPI with 16M colours221 Grams Dimensions 1 x 7.6 x 16.4 cmLCDpre-installed Bloatware some of cannot uninstalled but need to disablehigher Mobile F value (F 2.0)No headphones, no backcover ,no extra accessories.Uodate after three days:Battery still going on at 15% with 1 hour daily voice call , some whatsapp  and mostly standby.So it is power monster in battery category",2490,medium load unbox samsung galaxy unbox videonot impressive mobile samsung currently direct compete moto people want purchase mobile mobile marketing actor endorse g come get discount g mobile mobile manufacturer clear stock need inform g mobile support g band g mobile support example purchase mobile today month need change g mobile cost month cost matter high exchange value cost currently g come india yearend come high remember purchase mobile band support dual wi fi support graphic ppi matter check ppi value mobile directly relate mobile display colour quality high check mobile camera f value low value high picture quality good camera quality depend focal value android upgrade support important mobile useless year remember want mobile upgrade android item weight height mobile low well matter pain hold mobile long time specially old mobile resolution high screen refresh rate high clean android installation important manufacturer force install retain battery fully test operating system ui nm power efficient octa core screen refresh ratesamsung brand non store supportdolby atmos support currently audio testing go screen resolutionno ar support arcore absentresolution x pixel resolution low graphic ppi ppi m gram dimension x x cmlcdpre instal bloatware uninstalled need disablehigher mobile f value f headphone backcover extra day battery go hour daily voice whatsapp power monster battery category
Not a good budget phone,2,"Product specifications are not at par..Display is below average.Camera quality is just okay..It doesnt support 5ghz wifi, which is not mentioned anywhere so please make sure before buying..",189,product specification par display quality okay not support wifi mention sure buy
Samsung UI/UX is the worst,1,"The user experience is pathetic on these cheap phones. Its filled to the brim with bloatware that you can't remove.You're better off getting the Mi phones as they have a far better UIAlso, I can't return this garbage of a phone as Samsung don't list this as a software issue.I'll have to look into installing lineage os and de-google this phone before using it but that's easier said than done.",394,user experience pathetic cheap phone fill brim bloatware well get mi phone far well uialso return garbage phone samsung list software look instal lineage os de google phone easy say
Poor from Samsung,1,Just for name sake Cam & Battery are 48mp & 6000mah. But coming to reality it is poor. The weight of the phone also almost 250gm so it is not a smart phone it is a hard phone. And the top menu bar beside front cam is not responding sometimes.,242,sake cam battery come reality poor weight phone smart phone hard phone menu bar cam respond
Horrible product from samsung,1,Horrible product,16,horrible product
It's a budget package. A good phone to buy in the ₹ 10k bracket.,5,"A very satisfying  experience with the device so  far.Pros:1. Long battery life-  I am a moderate  user who does everything  except gaming. That said , the battery lasts up to 2 full days.2. Decent cameras for the price. Pictures are satisfactory but could be better.3. Very responsive finger print sensor.4. Good sound quality, although dolby's impact  is not much pronounced5. UI is great and snappy. Lots of customization options.6. The display is good and smooth with 90hz refresh rate. It does make the difference.7. Fast charging works fine.Cons:1. The weight of the phone is on the heavier side @ 220 gms2. The display could have been a full HD+ @ 1080p3. No led notification light. All though there are apps that can do the job on an AMOLED screen.Overall, a good package.",780,satisfying experience device long battery moderate user gaming say battery last decent camera price picture satisfactory responsive finger print good sound quality dolby impact ui great snappy lot customization display good smooth refresh rate fast charge work weight phone heavy display led notification light app job amole good package
Disappointed,1,"Not a good mobile.Quite heavy in weight, you will obviously feel it. Weight is 220 gms which is far exceeding acceptable range. Can definitely be used as paperweight.Nothing special in screen, processor or camera also.Just a marketing gimmick by samsung.Stay away.. At 13.5k we deserve far better than this.",307,good heavy weight obviously feel weight gms far exceed acceptable range definitely special screen processor camera marketing gimmick away deserve far well
Good battery but average performance,3,Pros:1. The biggest advantage for buying this phone is the battery life. 2.Going to the body of phone it is a very greatly built it comes with the matte finish it makes the phone Look really good.Cons1. You are choosing this phone because of the four cameras then you are wrong. Because it doesn’t give any clarity even it is with the selfie camera also. the camera is not up to the mark.2. The processor is also not up to the mark because when I use this phone for 2 to 3 days in starting I just saw off in different apps and sometimes it was struggling3.The display is also not up to the markSo my general suggestion is if you’re choosing this phone for general use with having a good battery back up then you can go with itbut if you are choosing this phone because of seeing the quad cameras then you’ll be left with nothing.Thank youI hope you all will like my review,872,big advantage buy phone battery life body phone greatly build come matte finish make phone look choose phone camera wrong clarity selfie camera camera processor mark use phone day start see different app display markso general suggestion choose phone general use have good battery itbut choose phone see quad camera leave youi hope like review
Worst Samsung phone,1,"This is Samsung's worst phone and it hs many glitches. Samsung doesn't even cleverly keep this phone on exchange deal because it wants to push this flop phone. The settings screen automatically come on home screen randomly on any other thing that is playing. Its camera is less than mediocre. Sound quality is bad. Only redeeming feature is battery life but then who wants long battery is everything else substandard. I want to return this but there is no such option. I want to exchange it for another model but there is ni such option either. I think Amazon and Samsung are taking us for a ride. We customers must raise our voice against such malpractices. Amazon is also allowing substandard, unverified sellers to peddle junk with misleading photos and information.",769,samsung bad phone hs glitch samsung cleverly phone exchange deal want push flop phone setting screen automatically come home screen randomly thing play camera mediocre sound quality bad redeem feature battery life want long battery substandard want return option want exchange model ni option think amazon samsung take ride customer raise voice malpractice amazon allow substandard unverified seller peddle junk mislead photo information
Worst camera,1,Camera is very poor.. though they mentioned 48mp but it looks like 13mp,71,camera poor mention look like
Everything is just lit at this price🔥 . No complains about anything,5,"It's a real monster. Everything is awesome from display to processor EVERYTHING. Fingerprint works very fast. Battery life is also really huge. Those who are not in favour of camera quality they're wrong camera quality is just awesome, size of pic goes more than 20MB from main 48mp camera. Must buy product. Really happy from it 😌. Once again no complains regarding anything.",376,real monster awesome display processor fingerprint work fast battery life huge favour camera quality wrong camera quality awesome size pic go mb main camera buy product happy complain
Go For It,4,I am giving this review after usage of 2 daysI bought this phone only for two req 1. Battery and Camera.1. BatteryBang on it lasted for 1 and half days there are unnecessary apps pre installed please remove those one of them is Takatak and Snapchat those are  absolutely non sense.I played Call Of Duty for straight 3 hours non stop battery drained from 98% to 80 %2. Camera is decent its ok to have good clicks from this phoneLast but not least Its Made in India!!If anyone is looking for Battery phone just go for this,520,give review usage daysi buy phone req battery batterybang last half day unnecessary app pre instal remove takatak snapchat absolutely non play duty straight hour non stop battery drain camera decent ok good click phonelast look battery phone
Just a PowerBank with 12 mp camera attached.,1,Look is average. Battery life is good. Only go ahead if you just need a good brand name otherwise 100 of options are available in market. You will definitely get disappointed with camera which is actually not more than 12 mega pixels.  This phone nothing but a PowerBank with 12 mp camera attached. Samsung must call back these phones as it is definitely going to kill the brand name. I will highly appreciate if Amazon has the guts to publish this review. This is an open challenge to Amazon...,495,look average battery life good ahead need good brand option available market definitely disappoint camera actually mega pixel phone powerbank mp camera attach samsung phone definitely go kill brand highly appreciate amazon gut publish review open challenge amazon
"Disappointed with mobile, Gpay & PhonePay app has issue",1,"Disappointed with this mobile.... PhonePay & GooglePay apps are not working properly.... Numbers visible only half and getting overlapped....and we're end up typing wrong Pin numbers.... multiple times we have changed the Pin for these apps... now a days We regularly use mobile for online payments but this mobile is not useful for online payments due to app issues.We have tried to return this mobile, but Amazon return policy date was over by the time we found the issue.",474,disappoint mobile phonepay googlepay app work properly number visible half getting overlap end type wrong pin number multiple time change pin app day regularly use mobile online payment mobile useful online payment app try return mobile amazon return policy date time find issue
Budget Samsung Phone,5,I am using this phone for the last one week and i noticed few positive and negative things about it.Positive points -• Fingerprint sensor is so fast and i loved it• Battery backup (6000 mAh) is amazing even after using it throughout the day• Camera quality is really good and the pictures are amazing on day light• Large display having a size of 6.5 inches and can run games smoothly on low graphic settings• 90Hz refresh rate feels so smooth• The phone doesn't lag or get heated after using it for a long time because of Exynos 850 (8nm) high-end processorNegative points -• Not made for hard-core gaming because the processor is not strong enough to run games smoothly on high graphics• The weight of phone is heavy• The brightness level is somewhat low as compared to other phones• The display that you will get is around 720 x 1600 pixels• The downloading as well as uploading speed is also low as compared to other phones within this price range• It is not water resistant and does not have Gorilla glass for screen protection .~ I am satisfied with this phone because of it's camera quality and battery backup √,1117,phone week notice positive negative thing point fingerprint sensor fast love battery backup mah amazing camera quality good picture amazing day large display have size inch run game smoothly low graphic refresh rate feel phone lag heated long time exynos nm high end processornegative point hard core gaming processor strong run game smoothly high weight phone brightness level somewhat low compare display x downloading upload speed low compare phone price water resistant gorilla glass screen protection satisfied phone camera quality battery backup
PHONE NOT UPTO THE MARK,2,"The phone is good looking, but it doesn't support the 5G wifi due to which the downloading speed is very limited2ndly the camera is not uptonthe mark . 48 MP is around 18 MP3rd. THE PHONE takes hell lot of time to get charged .No handsfree in the box",250,phone good looking support g wifi download speed camera uptonthe mark mp phone take hell lot time charge handsfree box
This is my honest opinion,4,"Changing my review on this device after 2 month usage .  I finally have to say that this is the bang for the buck .Awesome battery life , and that's what I want . I am just using it for basic social media and calls .. rest of my heavy work is done on my primary device .CAMERA is average , My ipad's 5 MP camera shoots better than the so called ""true"" 48MP.My advice-- go for 6gb variant as 2.5 gb is acquired by the system .Overall - 4☆",437,change review device month usage finally bang buck battery life want basic social medium call rest heavy work primary device average ipad mp camera shoot well call true gb variant gb acquire system
Total waste of mo ey better a12 but its also not good btter than this,1,Heating issueCamera dam 👎 so badSensors issuesUsb isuueDisplay so bad its look like old phone not today's  generation  displayAmazone need to improve software  for check device  and all i think its not goodHeating isueee in phone phone take to much time for chargingSome time rear camera not work properly  for scan qr code and barcodeOverall phone like to throw in dustbin 🗑I don't  expect  product like this from samsung its to bad  experience  from samsung and amazone also im so sad for this review  but i have to do for everyone 😔 so pls don't  buy this product,566,heating issuecamera dam badsensor issuesusb isuuedisplay bad look like old phone today generation displayamazone need improve software check device think goodheate isueee phone phone time chargingsome time rear camera work properly scan qr code barcodeoverall phone like throw dustbin expect product like samsung bad experience samsung amazone m sad review pls buy product
Regrettable purchase,1,"They have conveniently skipped mentioning it is not an amoled display while mentioning 90 Hz refresh rate. Touch response is faulty on these phones and SAR value is high despite having exynos processor, which also they have conveniently skipped mentioning.",256,conveniently skip mention amole display mention hz refresh rate touch response faulty phone sar value high despite have exynos processor conveniently skip mentioning
Some marketing gimmicks...,3,"This phone has 90hz display, but I see a lag while browing or navigating in apps, doesn't feel like 90hz at all48MP true cam when option selected gives noisy images , otherwise in normal mode works above averageBattery is excellent works for 2 daysHeating issues occur on heavy usage, in normal mode you won't notice itFront cam 8 mp just averageOverall I took 6gb 128 gb version for 13k and doesn't seem as good.Above average phone for the price....",450,phone display lag browe navigate app feel like true cam option select give noisy image normal mode work averagebattery excellent work daysheating issue occur heavy usage normal mode will notice itfront cam mp averageoverall take gb gb version average phone price
Pathetic customer support,1,"I bought the phone for my mother. Her usage is limited to making calls, the phone stays idle all the while. She had one more requirement that I shouldn't have to recharge it regularly. Hence choose this 6000 mAh battery phone. I was happy first few days, it gave 4+ day battery life but then an update came and spoilt everything. In 12 hours it would discharge completely. I approached the customer care and the customer care took remote access and checked logs and said, I see everything healthy in device. I told even though your log shows everything right, that doesn't translate to what I physically see. I probably had conversation for almost 10-15 mins but he was always coming to point he is not seeing problem. This was my first experience with samsung phone and this will be the last. And reason is not because product was bad but the customer support is pathetic. If I get into this kind of situation with their other products as well within a week or few weeks, I would simply waste my money. I am feeling lucky that I did not buy any of their exorbitant product and learnt the lesson at lesser cost.",1111,buy phone mother usage limit make call phone stay idle requirement recharge regularly choose mah battery phone happy day give day battery life update come spoil hour discharge completely approach customer care customer care take remote access check log say healthy device tell log show right translate physically probably conversation min come point see problem experience samsung phone reason product bad customer support pathetic kind situation product week week simply waste money feel lucky buy exorbitant product learn lesson less cost
Not recommended phone. Do not buy,1,I recieved the phone today and observed that it is lagging a lot unlike like other Samsung phones. Considering it has 6gb ram it should not be hanging at all.Camera quality is terrible.Lots of heating issuesDoes not connect to 5ghz wifiOnly replacement option available for the product and not refund. So choose the product wisely only after reviewing the feedbacks.Bad network quality. Does not catch mobile network.,417,recieve phone today observe lag lot unlike like samsung phone consider gb ram hang quality heating issuesdoes connect wifionly replacement option available product refund choose product wisely review network quality catch mobile network
Better buy a brick!,1,Don't know if I could get more disappointed by a purchase!!The phone did look okayish in the spec sheet. But it is a very  stupid buy.The first thing you notice is  the IMPRACTICALITY of the phone.It is too heavy(220g) and too thick (about 1cm) to carry. The display is the worst anyone could get at this price point.The processor is reasonably slow. Face detection is a joke. Battery is 6000 mah but will take forever to charge. But the side fingerprint sensor was good .Camera was okayish. Add a few more bucks and buy a better phone with OLED display.,554,know disappointed phone look okayish spec sheet stupid thing notice impracticality g thick cm carry display bad price processor reasonably slow face detection joke battery mah forever charge fingerprint sensor good okayish add buck buy well phone oled display
You will be disappointed,1,"Amazon hid all reviews for first few days till most of the stocks are sold out. Then after that it is not allowing to write negative reviews. I wrote my experience with so many negative points and it rejected. Still I am writing the pros & cons again.PROS:▪︎UI 3.0 is amazing. I like it a lot. It is better than Redmi, Moto, Nokia UI. (Subjective)▪︎Amazing battery life. I am getting more than 24hrs of usage after fully charged.CONS▪︎Worst camera ever. True 48MP is all bulls**t. Low light pics are also worst.Front camera is also not good.▪︎Seriously??? No Slowmotion, Timelapse & other basic features in camera.▪︎It doesn't support Camera2Api which means I cannot download GCam.▪︎Worst Screen resolution. While everyone is giving Super Amoled display & Full HD display, what happened to you Samsung??▪︎90Hz refresh rate is just gimmick.▪︎8nm processor is also waste.▪︎While all others are giving Snapdragon processors, Samsung is stuck with its Exynos which is basically useless. Phone is hanging sometimes.▪︎Phone is a bit heavy and you'll have a hard time with its weight. It's like holding a powerbank.▪︎15Watt charger?? Samsung...upgrade bro.▪︎Wifi only supports 2.5GHz band and no 5.0 GHz bandFinally dont get decieved by True 48MP, 8nm processor, 90Hz refresh rate and other gimmicks. You will be disappointed. I am very much disappointed. The worst thing is there is no return option in Amazon. Amazon bro...you too planned everything so well. Good job.",1463,amazon hide review day till stock sell allow write negative review write experience negative point reject write pro con amazing like lot well redmi moto nokia ui battery life get usage fully camera true low light pic camera slowmotion timelapse basic feature support mean download screen resolution give super amole display hd display happen refresh rate nm processor give snapdragon processor samsung stick exyno basically useless phone hang bit heavy hard time weight like hold charger samsung upgrade support band ghz bandfinally not decieve true nm processor refresh rate gimmick disappoint disappointed bad thing return option amazon amazon bro plan good job
Average phone with bloatware : Samsung India forces to write review,3,"Good phone in decent budget .Display could've been better , 90hz is not true to my usage . Since i use op7T it's clearly evident this display lacks the precision which it is said it has .Samsung India : they call me daily to inquire whether i have posted a review and what star rating should i give to the phone . This has become a headache .Dear samsung team , please do not force customer to write reviews and try to reduce the bloatware and unwanted app installations . I am starting to think MIUI was better than this .Display : not that they said / averageCamera : average / specs doesn't meetPerformance : ok for normal useBattery : good .Call quality : goodUI : Poor ,  I will not recommend samsung , this is not the one UI it was when i purchased M30S . Now this is full of bloatware and unwanted apps are getting installed by samsung store . I am puzzled on how to stop this.Overall : Very average phone . Better go for redmi note 10 or any other better phone in this price segment .Not a value for money dela",1018,good phone decent budget well true usage use t clearly evident display lack precision say india daily inquire post review star rating phone headache samsung team force customer write review try reduce bloatware unwanted app installation start think miui well say averagecamera average spec meetperformance ok normal usebattery good quality goodui poor recommend samsung ui purchase bloatware unwanted app getting instal samsung store puzzle stop average phone well redmi note well phone price segment value money dela
One of the best value for money phones,5,Good- got it for 9999- decent phone for this cost with all the necessary gizmos and bling- finger print sensor is good. fast and sensitive. Haven't tried the face unlock.- display is top notch on any good Samsung phone for this price- quality pics/ decent ( note - I'm a normal user of camera )- battery is very good. its really a monsterBad ( depends on perspective )- slightly big for small hands- it has all the dumb samsung apps inbuilt ( you can uninstall a few )- slightly heavier when you have a good solid case ( read as spigen branded )Overall very happy to have a good ( more than decent ) phone for the initial offer price.,634,get decent phone cost necessary gizmo finger print sensor good fast sensitive try face display notch good samsung phone quality decent note normal user camera battery good monsterbad depend perspective slightly big small dumb samsung app inbuilt uninstall slightly heavy good solid case read spigen brand overall happy good decent phone initial offer price
Do not  buy this phone if u want good camera,1,Being die hard fan of Samsung it is very difficult to write this review.Camera quality:why say 48MP  when it doesn't even look like 13MP my Mom's Samsung  M10s  camera quality and screen quality are far better than this phone. Regret for buying this phone for such high price booked on first day of launch as it came from Samsung brand. Generallyi go by reviews  but first time ordered on  launch day becoz of the reliability.I regret for the decision i made. Do not recommend the phone for anyone.,498,die hard fan samsung difficult write quality look like mom samsung camera quality screen quality far well phone regret buy phone high price book day launch come samsung brand generallyi review time order launch day becoz regret decision recommend phone
Samsung M12 Mobile Phone Problem,1,"The media could not be loaded.
                




   I don't know why Amazon is compromising on its quality to deliver  product's,  its evident nowadays, Recently I have got Samsung M12 product on 7 April 2021 the exchange date is 14 April 2021 ,Now after 7 days this phone display is gone , there is a blur continously in the screen,",336,medium load know amazon compromise quality deliver product evident nowadays recently get samsung product april exchange date april day phone display go blur continously screen
Very very Poor network connection,1,"Plz do not buy this mobile.. I am facing poor network issue. In my home others are using without any interruption.. Tried many things.. Asked colleagues, neighbors, mobile store person, google and tried all the ways.. But internet is very slow.. The same sim is working fine in other devise in same location. Even internet is ON it is showing you are offline when i try something. Also took nore than 45 mins to download 72 mb size app. Atlast i cancelled and came out due to intolerance. I am placing return order, will see what is gonna happen.",546,plz buy mobile face poor network issue home interruption try thing ask colleague neighbor mobile store person google try way internet slow sim work fine devise location internet show offline try take nore min download mb size app atlast cancel come intolerance place return order go to happen
Phone 📱 overall review,5,Very good phone. Camera display speed very good. Weight is little heavy.  But worth compare to the price,104,good phone camera display speed good weight little heavy worth compare price
